companyname=�Ｚ����                                
date|open|high|low|close|volume
20110421|930000|937000|918000|928000|541665
20110422|924000|927000|902000|904000|377225
20110425|901000|911000|889000|889000|287621
20110426|899000|899000|880000|897000|384355
20110427|917000|927000|911000|924000|528108
20110428|924000|927000|899000|900000|416427
20110429|901000|908000|880000|893000|429874
20110502|910000|937000|904000|932000|651726
20110503|936000|940000|922000|938000|507510
20110504|930000|934000|900000|915000|515717
20110506|899000|914000|895000|899000|473222
20110509|908000|911000|891000|891000|271573
20110511|889000|895000|882000|892000|447932
20110512|886000|901000|883000|885000|552942
20110513|896000|924000|890000|916000|669154
20110516|917000|919000|898000|901000|322905
20110517|897000|898000|889000|890000|231293
20110518|893000|899000|886000|893000|331824
20110519|891000|898000|880000|880000|387733
20110520|885000|887000|880000|882000|221517
20110523|877000|885000|872000|873000|282045
20110524|872000|884000|865000|865000|290181
20110525|879000|879000|853000|856000|320945
20110526|868000|880000|865000|879000|279740
20110527|874000|899000|867000|891000|430296
20110530|895000|895000|876000|884000|205979
20110531|890000|914000|886000|902000|478089
20110601|902000|912000|895000|911000|313832
20110602|894000|897000|880000|883000|331899
20110603|890000|890000|877000|885000|201472
20110607|876000|889000|869000|887000|303586
20110608|885000|890000|875000|877000|258873
20110609|877000|879000|865000|865000|434119
20110610|870000|874000|851000|851000|392575
20110613|844000|853000|838000|853000|301387
20110614|851000|873000|848000|863000|213419
20110615|866000|869000|851000|865000|265758
20110616|853000|858000|844000|848000|239116
20110617|851000|852000|803000|819000|723027
20110620|813000|814000|795000|800000|472386
20110621|800000|820000|798000|814000|378374
20110622|824000|833000|822000|826000|330821
20110623|825000|839000|820000|831000|277391
20110624|821000|854000|821000|852000|469223
20110627|847000|847000|828000|835000|304257
20110628|840000|853000|831000|832000|239178
20110629|848000|849000|832000|833000|207146
20110630|833000|835000|821000|826000|328339
20110701|843000|860000|838000|855000|442918
20110704|870000|883000|869000|878000|429433
20110705|880000|899000|878000|899000|422262
