companyname=�Ｚ����                                
date|open|high|low|close|volume
20120626|1133000|1149000|1129000|1139000|506211
20120627|1140000|1177000|1130000|1167000|471673
20120628|1167000|1180000|1153000|1168000|208420
20120629|1167000|1201000|1153000|1201000|373478
20120702|1208000|1209000|1171000|1174000|383135
20120703|1182000|1193000|1170000|1175000|316380
20120704|1182000|1197000|1178000|1191000|383678
20120705|1187000|1194000|1177000|1185000|181784
20120706|1194000|1194000|1153000|1161000|423970
20120709|1135000|1138000|1126000|1126000|426705
20120710|1135000|1142000|1121000|1127000|355742
20120711|1129000|1133000|1108000|1118000|361358
20120712|1121000|1126000|1091000|1091000|500103
20120713|1096000|1144000|1091000|1139000|542252
20120716|1145000|1155000|1133000|1152000|305730
20120717|1148000|1178000|1136000|1168000|317913
20120718|1179000|1185000|1138000|1154000|292655
20120719|1180000|1202000|1172000|1195000|497504
20120720|1202000|1203000|1191000|1191000|240244
20120723|1165000|1170000|1155000|1162000|258087
20120724|1165000|1175000|1159000|1170000|292532
20120725|1153000|1172000|1139000|1158000|273353
20120726|1169000|1174000|1160000|1172000|273339
20120727|1195000|1233000|1191000|1233000|534352
20120730|1260000|1278000|1251000|1275000|382995
20120731|1280000|1334000|1275000|1309000|676303
20120801|1292000|1315000|1283000|1300000|381803
20120802|1300000|1304000|1261000|1263000|320335
20120803|1240000|1267000|1238000|1243000|312338
20120806|1285000|1305000|1282000|1298000|246024
20120807|1303000|1304000|1284000|1294000|205823
20120808|1306000|1328000|1301000|1320000|389471
20120809|1321000|1348000|1318000|1340000|612875
20120810|1335000|1348000|1330000|1348000|294895
20120813|1342000|1347000|1323000|1325000|197976
20120814|1326000|1350000|1326000|1345000|289928
20120816|1354000|1355000|1338000|1345000|296891
20120817|1344000|1345000|1286000|1295000|554025
20120820|1270000|1283000|1255000|1283000|399820
20120821|1292000|1302000|1282000|1282000|307047
20120822|1269000|1281000|1257000|1264000|321554
20120823|1261000|1287000|1249000|1287000|277600
20120824|1270000|1287000|1264000|1275000|282921
20120827|1189000|1203000|1173000|1180000|1277983
20120828|1186000|1209000|1180000|1195000|558503
20120829|1209000|1235000|1207000|1230000|469517
20120830|1228000|1229000|1202000|1215000|324636
20120831|1211000|1234000|1207000|1233000|407358
20120903|1220000|1235000|1201000|1218000|278537
20120904|1219000|1228000|1210000|1218000|198954
20120905|1205000|1212000|1189000|1189000|349101
20120906|1200000|1203000|1193000|1196000|247977
20120907|1230000|1251000|1220000|1250000|510922
20120910|1260000|1264000|1250000|1250000|318481
20120911|1240000|1265000|1232000|1256000|198608
20120912|1268000|1295000|1259000|1294000|370250
20120913|1299000|1305000|1281000|1301000|390332
20120914|1330000|1339000|1327000|1336000|498718
20120917|1336000|1336000|1312000|1315000|298200
20120918|1314000|1336000|1308000|1315000|224940
20120919|1306000|1323000|1298000|1314000|242946
20120920|1293000|1305000|1284000|1287000|284488
20120921|1300000|1307000|1295000|1302000|298374
20120924|1300000|1328000|1292000|1327000|264015
20120925|1310000|1334000|1310000|1327000|227443
20120926|1313000|1325000|1306000|1325000|241197
