name|code|group1|group1_name|group2|group2_name|rate|gubun|flag|open|high|low|close|volume|dealprice 
CJ제일제당|KR7097950000|005|음식료품|||0|3|4|222500|224000|218000|219500|87485|19303917500 
오리온|KR7001800002|005|음식료품|||-2.13|2|3|353500|353500|343000|345000|38547|13337423500 
진로|KR7000080002|005|음식료품|||-2.39|2|3|39600|39650|38600|38850|89904|3518194950 
대상|KR7001680008|005|음식료품|||-3.18|2|3|8510|8510|8210|8230|345346|2880122880 
롯데칠성|KR7005300009|005|음식료품|||0.51|1|5|782000|791000|782000|787000|2835|2236681000 
삼양사|KR7000070003|005|음식료품|||-3.5|2|3|57300|57500|55200|55200|29060|1623921900 
하이트맥주|KR7103150009|005|음식료품|||0.35|1|5|141500|143500|141000|142500|8977|1278569500 
CJ씨푸드|KR7011150000|005|음식료품|||-3.11|2|3|2600|2615|2490|2495|476887|1218228930 
삼양식품|KR7003230000|005|음식료품|||-0.3|2|3|16550|16700|16200|16650|39020|640323500 
빙그레|KR7005180005|005|음식료품|||0.21|1|5|47200|47600|47150|47500|13201|626083000 
동아원|KR7008040008|005|음식료품|||1.51|1|5|4620|4745|4580|4700|114952|534392550 
마니커|KR7027740000|005|음식료품|||0|3|4|1030|1040|1020|1025|512875|526749885 
농심|KR7004370003|005|음식료품|||0.67|1|5|225500|227000|225000|227000|2173|491148500 
남양유업|KR7003920006|005|음식료품|||1|1|5|505000|505000|501000|505000|954|478529000 
오뚜기|KR7007310006|005|음식료품|||1.68|1|5|149000|151000|148000|151000|3124|467939000 
무학|KR7033920000|005|음식료품|||-1.13|2|3|5310|5360|5200|5260|76800|403999300 
대한제분|KR7001130004|005|음식료품|||0.34|1|5|148000|148000|145000|145500|2721|397170000 
롯데제과|KR7004990008|005|음식료품|||-0.53|2|3|1323000|1336000|1318000|1326000|291|385043000 
크라운제과|KR7005740006|005|음식료품|||1.33|1|5|113000|115500|111000|114000|2910|327255000 
대한제당|KR7001790005|005|음식료품|||0|3|4|37400|37900|37400|37600|7966|300292600 
롯데삼강|KR7002270007|005|음식료품|||-0.35|2|3|283500|287500|283000|285000|817|232956000 
CJ씨푸드1우|KR7011151008|005|음식료품|||-1.49|2|3|16750|17000|16350|16500|11523|191745500 
우성사료|KR7006980007|005|음식료품|||-2.23|2|3|1810|1810|1745|1755|107350|189718800 
한성기업|KR7003680006|005|음식료품|||1.6|1|5|15500|15900|15150|15900|10918|169795200 
팜스코|KR7036580009|005|음식료품|||-2.22|2|3|2250|2260|2200|2205|53517|118770850 
삼양제넥스|KR7003940004|005|음식료품|||-0.31|2|3|65200|65600|64700|65000|1796|116940100 
사조해표|KR7079660007|005|음식료품|||0.9|1|5|11100|11200|10950|11200|9970|110429000 
사조대림|KR7003960002|005|음식료품|||-1.03|2|3|19200|19350|19100|19300|5630|108306500 
대상3우B|KR7001683002|005|음식료품|||-4.52|2|3|6190|6900|5880|5920|15425|96060600 
조흥|KR7002600005|005|음식료품|||0.89|1|5|55600|57900|55600|56900|1687|96058700 
서울식품|KR7004410007|005|음식료품|||-0.26|2|3|1935|1935|1880|1890|48371|91520340 
보해양조|KR7000890004|005|음식료품|||0|3|4|18500|18800|18300|18500|4330|79721500 
동원F&B|KR7049770001|005|음식료품|||-0.2|2|3|49600|50100|49600|50000|1538|76901050 
CJ제일제당 우|KR7097951008|005|음식료품|||-0.14|2|3|69700|70500|69700|70000|605|42386700 
선진|KR7014300008|005|음식료품|||-0.26|2|3|38000|38000|37800|37900|1060|40207500 
서울식품우|KR7004411005|005|음식료품|||2.44|1|5|6570|6860|6480|6730|4710|31255300 
삼립식품|KR7005610001|005|음식료품|||0|3|4|9480|9550|9330|9480|3161|29638780 
고려산업|KR7002140002|005|음식료품|||-1.01|2|3|3440|3470|3415|3415|7560|25953550 
