companyname=한화투자증권
date|open|high|low|close|volume
3221041|4140|4140|4140|4140|100
3221042|4135|4135|4135|4135|1010
3221044|4135|4135|4135|4135|20
3221045|4135|4135|4135|4135|20
3221047|4135|4135|4135|4135|90
3221048|4135|4135|4130|4130|680
3221049|4130|4130|4130|4130|10
3221050|4135|4135|4135|4135|60
3221051|4130|4135|4130|4135|40
3221052|4135|4135|4135|4135|260
3221053|4140|4155|4140|4155|2200
3221054|4160|4160|4160|4160|20
3221059|4145|4145|4145|4145|20
3221106|4140|4140|4135|4135|20
3221109|4160|4160|4160|4160|60
3221112|4160|4160|4160|4160|660
3221119|4165|4165|4165|4165|100
3221120|4160|4160|4160|4160|50
3221127|4160|4160|4160|4160|20
3221129|4150|4150|4150|4150|1140
3221130|4150|4150|4150|4150|60
3221137|4150|4150|4150|4150|440
3221138|4150|4150|4150|4150|470
3221139|4150|4150|4150|4150|20
3221142|4150|4150|4150|4150|150
3221143|4165|4165|4160|4160|30
3221147|4155|4155|4155|4155|10
3221149|4155|4155|4155|4155|190
3221150|4155|4155|4155|4155|320
3221151|4155|4155|4155|4155|50
3221153|4155|4160|4155|4160|700
3221155|4145|4145|4145|4145|550
3221205|4160|4160|4160|4160|10
3221206|4145|4160|4145|4145|940
3221207|4160|4160|4160|4160|10
3221208|4160|4160|4160|4160|20
3221211|4145|4145|4145|4145|200
3221216|4145|4145|4145|4145|20
3221218|4145|4145|4145|4145|60
3221222|4140|4140|4140|4140|140
3221223|4150|4155|4150|4155|20
3221226|4140|4140|4140|4140|670
3221229|4155|4155|4155|4155|10
3221236|4155|4155|4155|4155|1060
3221243|4140|4140|4140|4140|2170
3221245|4135|4135|4135|4135|660
3221247|4135|4150|4135|4150|3010
3221258|4140|4140|4140|4140|190
3221259|4140|4150|4140|4150|20
3221307|4135|4150|4135|4150|490
3221309|4155|4155|4155|4155|10
3221310|4140|4140|4140|4140|500
3221314|4150|4150|4150|4150|10
3221317|4150|4150|4150|4150|200
3221318|4150|4150|4150|4150|60
3221320|4150|4150|4140|4150|1030
3221321|4150|4150|4150|4150|10
3221322|4145|4145|4145|4145|80
3221323|4145|4145|4145|4145|10
3221324|4145|4145|4145|4145|200
3221327|4140|4140|4140|4140|70
3221330|4140|4140|4140|4140|1490
3221338|4140|4140|4140|4140|130
3221347|4135|4135|4135|4135|100
3221353|4140|4150|4140|4150|1930
3221354|4150|4155|4150|4150|700
3221356|4155|4155|4155|4155|10
3221357|4145|4155|4145|4155|20
3221402|4140|4155|4140|4155|280
3221404|4155|4155|4155|4155|200
3221405|4155|4155|4155|4155|70
3221408|4140|4155|4140|4140|1600
3221409|4155|4155|4155|4155|20
3221411|4135|4135|4105|4105|8670
3221414|4140|4140|4140|4140|1890
3221417|4140|4140|4140|4140|1110
3221418|4140|4140|4140|4140|10
3221421|4140|4140|4140|4140|270
3221422|4140|4140|4140|4140|100
3221423|4140|4145|4140|4145|100
3221424|4135|4135|4135|4135|10
3221426|4140|4140|4140|4140|10
3221428|4140|4140|4140|4140|310
3221429|4145|4145|4140|4145|1960
3221430|4145|4145|4140|4140|700
3221431|4135|4135|4135|4135|250
3221433|4130|4135|4130|4135|370
3221434|4130|4140|4130|4140|670
3221435|4140|4145|4140|4145|800
3221437|4135|4145|4130|4145|340
3221438|4145|4145|4135|4135|140
3221439|4135|4140|4135|4140|490
3221441|4135|4140|4135|4140|620
3221445|4140|4140|4135|4135|640
3221446|4140|4140|4140|4140|50
3221448|4140|4140|4135|4140|770
3221450|4135|4140|4130|4140|460
3221500|4180|4180|4180|4180|21830
3250901|4190|4205|4190|4205|6570
3250902|4205|4250|4205|4245|550
3250903|4245|4250|4240|4250|1700
3250904|4250|4250|4240|4240|100
3250905|4240|4245|4240|4245|460
3250906|4245|4250|4240|4245|1280
3250907|4240|4240|4235|4240|170
3250909|4240|4240|4240|4240|200
3250910|4240|4240|4205|4205|2010
3250911|4240|4240|4235|4235|80
3250912|4235|4235|4235|4235|270
3250913|4205|4230|4200|4230|1920
3250917|4230|4230|4210|4210|210
3250918|4210|4230|4210|4230|810
3250922|4225|4240|4225|4240|240
3250923|4240|4250|4240|4250|1480
3250924|4245|4250|4245|4250|510
3250925|4250|4250|4250|4250|1800
3250926|4250|4265|4250|4250|410
3250927|4250|4250|4250|4250|270
3250928|4250|4250|4250|4250|1210
3250929|4250|4265|4250|4265|150
3250930|4260|4265|4260|4265|820
3250931|4250|4250|4250|4250|1300
3250932|4250|4250|4250|4250|1860
3250934|4245|4250|4245|4250|330
3250935|4250|4250|4250|4250|260
3250936|4245|4245|4240|4240|120
3250938|4240|4240|4240|4240|60
3250940|4230|4230|4230|4230|120
3250941|4225|4225|4225|4225|400
3250942|4225|4225|4225|4225|970
3250943|4220|4220|4220|4220|200
3250944|4225|4225|4225|4225|200
3250945|4225|4225|4225|4225|40
3250951|4225|4225|4220|4220|1530
3250952|4220|4220|4220|4220|150
3250953|4240|4240|4240|4240|100
3250954|4240|4240|4240|4240|110
3250956|4240|4240|4240|4240|590
3251002|4240|4240|4240|4240|90
3251003|4240|4240|4240|4240|1230
3251005|4245|4245|4245|4245|60
3251006|4245|4250|4245|4250|380
3251008|4245|4245|4245|4245|740
3251012|4245|4250|4245|4250|660
3251015|4245|4245|4245|4245|60
3251016|4245|4250|4240|4240|920
3251017|4240|4240|4240|4240|100
3251018|4240|4240|4240|4240|400
3251019|4240|4250|4240|4250|830
3251021|4245|4245|4245|4245|100
3251022|4245|4245|4245|4245|40
3251023|4245|4245|4245|4245|60
3251025|4245|4245|4245|4245|620
3251026|4245|4245|4240|4240|110
3251027|4240|4245|4240|4245|510
3251029|4245|4250|4245|4250|2830
3251030|4250|4250|4250|4250|2100
3251031|4250|4250|4250|4250|20
3251033|4250|4250|4245|4250|1520
3251035|4250|4250|4250|4250|1040
3251036|4250|4250|4245|4245|340
3251038|4250|4250|4250|4250|360
3251044|4245|4245|4245|4245|790
3251046|4245|4245|4245|4245|10
3251052|4245|4245|4245|4245|110
3251054|4240|4240|4240|4240|100
3251055|4240|4245|4240|4245|600
3251058|4240|4245|4240|4245|1270
3251101|4240|4240|4240|4240|260
3251102|4240|4245|4240|4245|320
3251106|4240|4240|4240|4240|300
3251107|4240|4245|4235|4235|1750
3251115|4235|4235|4235|4235|110
3251116|4235|4235|4235|4235|300
3251118|4235|4235|4235|4235|50
3251120|4235|4235|4235|4235|70
3251121|4235|4240|4235|4240|710
3251122|4235|4240|4235|4240|300
3251123|4235|4240|4235|4240|1880
3251124|4235|4235|4235|4235|10
3251125|4235|4235|4235|4235|260
3251126|4240|4245|4240|4245|1770
3251130|4240|4245|4240|4245|620
3251132|4240|4245|4240|4245|750
3251140|4235|4235|4235|4235|20
3251144|4235|4235|4235|4235|210
3251145|4235|4235|4235|4235|340
3251153|4235|4240|4235|4240|470
3251200|4240|4240|4240|4240|200
3251202|4240|4240|4240|4240|50
3251206|4235|4235|4235|4235|350
3251209|4240|4240|4240|4240|20
3251213|4240|4240|4240|4240|330
3251215|4240|4240|4240|4240|20
3251216|4235|4240|4235|4240|1060
3251217|4240|4240|4240|4240|10
3251220|4235|4235|4235|4235|40
3251224|4235|4240|4235|4240|2080
3251225|4235|4235|4235|4235|80
3251226|4240|4240|4235|4235|240
3251232|4235|4235|4235|4235|200
3251237|4230|4235|4230|4235|670
3251238|4230|4230|4230|4230|10
3251239|4230|4230|4230|4230|150
3251241|4235|4235|4235|4235|40
3251242|4230|4230|4225|4225|3610
3251243|4225|4225|4225|4225|40
3251244|4225|4225|4225|4225|120
3251245|4230|4230|4225|4225|1100
3251247|4225|4230|4225|4230|220
3251248|4230|4230|4230|4230|240
3251252|4225|4225|4225|4225|1480
3251254|4220|4220|4220|4220|1600
3251259|4215|4215|4215|4215|100
3251301|4215|4215|4215|4215|2400
3251303|4220|4220|4215|4215|630
3251304|4220|4220|4220|4220|10
3251305|4220|4220|4220|4220|30
3251308|4215|4215|4215|4215|520
3251311|4215|4215|4210|4210|1000
3251318|4220|4220|4220|4220|20
3251319|4210|4210|4210|4210|500
3251322|4210|4210|4205|4205|1960
3251328|4205|4205|4205|4205|330
3251331|4205|4205|4205|4205|260
3251332|4205|4205|4205|4205|510
3251336|4210|4210|4210|4210|460
3251337|4210|4210|4210|4210|30
3251338|4210|4210|4210|4210|50
3251339|4210|4230|4210|4230|1440
3251340|4225|4225|4225|4225|10
3251341|4220|4220|4220|4220|60
3251344|4220|4220|4220|4220|10
3251349|4210|4210|4210|4210|10
3251353|4210|4210|4210|4210|100
3251358|4210|4215|4210|4215|1020
3251401|4215|4215|4215|4215|1030
3251403|4215|4215|4215|4215|20
3251406|4215|4215|4210|4215|110
3251408|4210|4210|4210|4210|6830
3251409|4210|4210|4210|4210|10
3251410|4210|4210|4205|4205|100
3251411|4205|4205|4205|4205|110
3251412|4210|4210|4210|4210|10
3251417|4205|4205|4205|4205|890
3251419|4205|4205|4205|4205|110
3251420|4205|4210|4205|4210|1050
3251421|4210|4225|4210|4225|220
3251423|4225|4225|4225|4225|90
3251425|4210|4210|4210|4210|30
3251428|4210|4210|4210|4210|50
3251431|4220|4220|4220|4220|100
3251433|4210|4210|4210|4210|110
3251434|4205|4205|4205|4205|90
3251436|4205|4205|4205|4205|1780
3251437|4215|4215|4200|4205|870
3251438|4205|4215|4205|4215|970
3251439|4210|4210|4210|4210|180
3251441|4210|4210|4210|4210|20
3251445|4210|4210|4210|4210|1010
3251448|4210|4210|4205|4205|930
3251449|4205|4205|4205|4205|170
3251500|4210|4210|4210|4210|940
3260901|4225|4225|4225|4225|690
3260903|4225|4225|4225|4225|1060
3260904|4225|4225|4225|4225|2540
3260907|4210|4210|4205|4205|620
3260910|4205|4205|4205|4205|110
3260912|4205|4205|4205|4205|680
3260914|4205|4205|4205|4205|400
3260915|4205|4205|4205|4205|730
3260916|4205|4205|4200|4200|740
3260919|4205|4205|4195|4195|4730
3260920|4195|4195|4190|4190|1280
3260922|4195|4195|4195|4195|10
3260925|4195|4195|4195|4195|670
3260927|4190|4190|4190|4190|580
3260929|4185|4185|4180|4180|1000
3260935|4185|4185|4185|4185|10
3260937|4185|4185|4185|4185|80
3260938|4190|4190|4190|4190|10
3260939|4190|4190|4185|4185|530
3260940|4185|4185|4185|4185|170
3260942|4190|4190|4190|4190|460
3260944|4190|4190|4190|4190|1540
3260945|4180|4180|4180|4180|2120
3260946|4180|4190|4180|4190|3880
3260950|4190|4190|4190|4190|250
3260951|4190|4190|4190|4190|1000
3260956|4195|4195|4195|4195|80
3260957|4195|4195|4195|4195|30
3260958|4195|4195|4195|4195|20
3261005|4185|4185|4185|4185|400
3261008|4185|4185|4185|4185|200
3261009|4185|4185|4185|4185|10
3261011|4185|4185|4185|4185|110
3261013|4180|4180|4180|4180|1000
3261015|4180|4180|4180|4180|20
3261018|4175|4175|4175|4175|1500
3261019|4175|4175|4175|4175|200
3261020|4175|4175|4175|4175|700
3261022|4175|4175|4175|4175|460
3261024|4175|4175|4170|4170|1920
3261027|4175|4175|4170|4170|930
3261031|4175|4175|4175|4175|250
3261032|4180|4180|4180|4180|10
3261033|4180|4180|4180|4180|110
3261034|4180|4180|4180|4180|100
3261035|4180|4180|4180|4180|10
3261038|4175|4175|4175|4175|200
3261039|4180|4180|4180|4180|100
3261041|4180|4180|4180|4180|10
3261042|4185|4190|4185|4190|3000
3261043|4190|4190|4185|4185|20
3261048|4185|4185|4175|4175|1950
3261049|4175|4175|4175|4175|30
3261050|4175|4175|4175|4175|50
3261053|4175|4175|4175|4175|150
3261100|4175|4175|4175|4175|300
3261108|4180|4180|4175|4175|2140
3261109|4175|4175|4175|4175|10
3261110|4170|4170|4170|4170|620
3261111|4175|4175|4175|4175|320
3261113|4175|4175|4175|4175|30
3261115|4175|4175|4175|4175|20
3261116|4175|4175|4175|4175|460
3261117|4175|4175|4160|4160|4000
3261130|4165|4165|4165|4165|200
3261134|4165|4165|4165|4165|1190
3261135|4165|4165|4160|4160|2040
3261141|4160|4160|4150|4150|7080
3261142|4150|4180|4150|4180|810
3261145|4165|4165|4165|4165|800
3261150|4165|4165|4165|4165|10
3261153|4160|4160|4160|4160|80
3261154|4165|4165|4165|4165|450
3261155|4165|4165|4165|4165|200
3261156|4160|4160|4155|4155|2000
3261158|4160|4160|4160|4160|50
3261207|4160|4160|4160|4160|60
3261208|4160|4160|4160|4160|60
3261209|4165|4165|4160|4160|70
3261210|4160|4160|4160|4160|400
3261211|4165|4195|4165|4195|5400
3261228|4160|4160|4160|4160|20
3261229|4160|4160|4155|4155|2000
3261231|4155|4155|4150|4150|2000
3261234|4150|4150|4150|4150|3000
3261240|4150|4150|4150|4150|1150
3261242|4155|4155|4150|4150|5010
3261246|4150|4150|4150|4150|3000
3261252|4150|4150|4150|4150|200
3261301|4160|4160|4160|4160|190
3261305|4160|4160|4155|4155|100
3261312|4160|4160|4160|4160|90
3261313|4155|4155|4155|4155|440
3261314|4150|4155|4150|4155|1140
3261319|4165|4170|4165|4170|310
3261320|4170|4170|4170|4170|200
3261321|4170|4170|4170|4170|20
3261322|4170|4170|4170|4170|950
3261323|4175|4175|4170|4170|30
3261324|4175|4175|4175|4175|10
3261325|4175|4175|4175|4175|50
3261330|4180|4180|4180|4180|10
3261331|4180|4180|4180|4180|20
3261334|4180|4180|4180|4180|1000
3261335|4185|4190|4185|4190|40
3261336|4180|4180|4170|4170|4150
3261337|4170|4170|4170|4170|120
3261341|4160|4160|4150|4150|12000
3261344|4170|4170|4170|4170|230
3261346|4190|4190|4190|4190|10
3261348|4180|4195|4175|4175|2970
3261349|4175|4175|4170|4170|6000
3261352|4185|4185|4185|4185|50
3261355|4185|4185|4185|4185|70
3261356|4170|4170|4150|4150|4080
3261403|4155|4155|4155|4155|30
3261406|4165|4165|4160|4160|520
3261407|4160|4160|4160|4160|40
3261409|4160|4160|4160|4160|60
3261410|4175|4175|4175|4175|20
3261413|4175|4175|4175|4175|100
3261415|4165|4165|4160|4160|250
3261418|4160|4160|4150|4150|8190
3261423|4155|4155|4155|4155|1660
3261424|4170|4170|4170|4170|10
3261436|4170|4170|4170|4170|10
3261437|4170|4170|4170|4170|10
