companyname=�Ｚ����                                
date|open|high|low|close|volume
20121113|1347000|1349000|1326000|1349000|146594
20121114|1357000|1357000|1346000|1355000|208828
20121115|1335000|1338000|1326000|1331000|199259
20121116|1322000|1326000|1301000|1307000|243724
20121119|1315000|1342000|1313000|1332000|202837
20121120|1353000|1365000|1346000|1364000|268586
20121121|1376000|1397000|1372000|1384000|355901
20121122|1394000|1419000|1391000|1417000|299318
20121123|1422000|1442000|1417000|1437000|246769
20121126|1442000|1443000|1399000|1404000|275155
