companyname=�Ｚ����                                
date|open|high|low|close|volume
20121030|1299000|1304000|1292000|1298000|133300
20121031|1306000|1312000|1299000|1310000|212428
20121101|1295000|1302000|1290000|1297000|209205
20121102|1319000|1333000|1313000|1327000|370592
20121105|1328000|1349000|1320000|1341000|261413
20121106|1349000|1349000|1332000|1349000|179690
20121107|1343000|1362000|1335000|1362000|193847
20121108|1348000|1357000|1341000|1350000|306862
20121109|1335000|1351000|1326000|1341000|291124
20121112|1331000|1347000|1331000|1345000|139213
20121113|1347000|1349000|1326000|1349000|146594
20121114|1357000|1357000|1346000|1355000|208828
20121115|1335000|1338000|1326000|1331000|199259
20121116|1322000|1326000|1301000|1307000|243724
20121119|1315000|1342000|1313000|1332000|202837
20121120|1353000|1365000|1346000|1364000|268586
20121121|1376000|1397000|1372000|1384000|355901
20121122|1394000|1419000|1391000|1417000|299318
20121123|1422000|1442000|1417000|1437000|246769
20121126|1442000|1443000|1399000|1404000|275155
